LINHA_EXCEL;CENTRO;SKU;DESCRIÇÃO;DEPÓSITO;QTD_REGISTRO;VALOR_REGISTRO
2;C907;0005-0001-1;ABRAÇADEIRA PLÁSTICA BRANCA 100 MM;EXEC;1400,0;84,0
3;C903;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;119,0;6,01
4;C904;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;210,0;10,54
5;C904;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;190,0;9,54
6;C905;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
7;C906;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;AMED;100,0;5,02
8;C907;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;30,0;1,51
9;C907;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;1450,0;72,79
10;C908;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;20,0;1,01
11;C908;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;58,0;2,91
12;C909;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
13;C910;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;200,0;10,04
14;C913;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;100,0;5,02
15;C913;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;70,0;3,51
16;C915;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
17;C924;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
18;C925;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
19;C903;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
20;C908;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;EXEC;100,0;454,04
21;C911;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
22;C912;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
23;C915;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
24;C912;0005-0021-3;CONECTOR RJ11;EXEC;20,0;16,15
25;C912;0005-0021-3;CONECTOR RJ11;LVUT;90,0;72,67
26;C904;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;EXEC;100,0;52,97
27;C904;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;LVUT;12248,0;6488,3
28;C915;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;EXEC;50,0;26,5
29;C924;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;LVUT;549,0;290,96
30;C110;0005-0031-4;FITA AUTO-FUSÃO;LVUT;267,0;2511,94
31;C440;0005-0031-4;FITA AUTO-FUSÃO;LVUT;10,0;91,78
32;C903;0005-0031-4;FITA AUTO-FUSÃO;LVUT;159,0;3200,65
33;C904;0005-0031-4;FITA AUTO-FUSÃO;AMED;65,0;1208,24
34;C904;0005-0031-4;FITA AUTO-FUSÃO;EXEC;3,0;55,76
35;C904;0005-0031-4;FITA AUTO-FUSÃO;LVUT;18,0;334,59
36;C905;0005-0031-4;FITA AUTO-FUSÃO;LVUT;36,0;737,86
37;C906;0005-0031-4;FITA AUTO-FUSÃO;LVUT;40,0;819,58
38;C907;0005-0031-4;FITA AUTO-FUSÃO;EXEC;1,0;14,51
39;C907;0005-0031-4;FITA AUTO-FUSÃO;LVUT;196,0;2843,87
40;C908;0005-0031-4;FITA AUTO-FUSÃO;EXEC;4,0;63,3
41;C908;0005-0031-4;FITA AUTO-FUSÃO;LVUT;6,0;94,95
42;C909;0005-0031-4;FITA AUTO-FUSÃO;LVUT;69,0;1297,05
43;C910;0005-0031-4;FITA AUTO-FUSÃO;LVUT;29,0;597,04
