LINHA_EXCEL;CENTRO;SKU;DESCRIÇÃO;DEPÓSITO;QTD_REGISTRO;VALOR_REGISTRO
2;C907;0005-0001-1;ABRAÇADEIRA PLÁSTICA BRANCA 100 MM;EXEC;1400,0;84,0
3;C903;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;119,0;6,01
4;C904;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;210,0;10,54
5;C904;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;190,0;9,54
6;C905;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
7;C906;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
8;C907;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;1500,0;75,3
9;C908;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;20,0;1,01
10;C908;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;58,0;2,91
11;C909;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
12;C910;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;200,0;10,04
13;C913;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;EXEC;100,0;5,02
14;C913;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;70,0;3,51
15;C915;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
16;C924;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
17;C925;0005-0005-7;ABRACADEIRA PLASTICA PRETA C PROTECAO UV;LVUT;100,0;5,02
18;C903;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
19;C908;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;EXEC;100,0;454,04
20;C911;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
21;C912;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
22;C915;0005-0018-0;CANALETA C/ DIVISÓRIA 20X10X2,10;LVUT;25,0;118,87
23;C912;0005-0021-3;CONECTOR RJ11;EXEC;20,0;16,15
24;C912;0005-0021-3;CONECTOR RJ11;LVUT;90,0;72,67
25;C904;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;EXEC;100,0;52,97
26;C904;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;LVUT;12248,0;6488,3
27;C915;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;EXEC;50,0;26,5
28;C924;0005-0029-2;FECHO PARA FITA DE ACO INOX 304 19.0 X 1;LVUT;549,0;290,96
29;C110;0005-0031-4;FITA AUTO-FUSÃO;LVUT;267,0;2511,94
30;C440;0005-0031-4;FITA AUTO-FUSÃO;LVUT;10,0;91,78
31;C903;0005-0031-4;FITA AUTO-FUSÃO;LVUT;159,0;3200,65
32;C904;0005-0031-4;FITA AUTO-FUSÃO;AMED;119,0;2212,04
33;C904;0005-0031-4;FITA AUTO-FUSÃO;EXEC;3,0;55,77
34;C904;0005-0031-4;FITA AUTO-FUSÃO;LVUT;21,0;390,36
35;C905;0005-0031-4;FITA AUTO-FUSÃO;LVUT;43,0;881,33
36;C906;0005-0031-4;FITA AUTO-FUSÃO;LVUT;40,0;819,58
37;C907;0005-0031-4;FITA AUTO-FUSÃO;EXEC;1,0;14,51
38;C907;0005-0031-4;FITA AUTO-FUSÃO;LVUT;196,0;2843,87
39;C908;0005-0031-4;FITA AUTO-FUSÃO;EXEC;4,0;63,3
40;C908;0005-0031-4;FITA AUTO-FUSÃO;LVUT;6,0;94,95
41;C909;0005-0031-4;FITA AUTO-FUSÃO;LVUT;69,0;1297,05
42;C910;0005-0031-4;FITA AUTO-FUSÃO;LVUT;29,0;597,04
43;C912;0005-0031-4;FITA AUTO-FUSÃO;LVUT;2,0;41,18
